Kunta,Maatakm2,Makeaavettakm2,Merivettakm2,Yhteensakm2
Äänekoski,884.48,253.9,0,1138.38
Ähtäri,804.94,105.01,0,909.95
Akaa,293.14,21.24,0,314.38
Alajärvi,1008.74,48,0,1056.74
Alavieska,251.36,1.66,0,253.02
Alavus,1088.16,64.23,0,1152.39
Asikkala,563.38,192.17,0,755.55
Askola,212.41,5.61,0,218.02
Aura,95,0.58,0,95.58
Brändö,107.88,0.38,1534.8,1643.06
Eckerö,107.65,1.47,643.47,752.59
Enonkoski,305.82,113.38,0,419.2
Enontekiö,7945.49,445.86,0,8391.35
Espoo,312.2,18,197.82,528.02
Eura,578.77,51.43,0,630.2
Eurajoki,345.39,3.9,294.49,643.78
Evijärvi,354.08,36.63,0,390.71
Finström,123.23,6.94,42.32,172.49
Föglö,134.77,0.31,1733.96,1869.04
Forssa,248.78,4.62,0,253.4
Geta,84.35,2.86,519.27,606.48
Haapajärvi,765.67,23.44,0,789.11
Haapavesi,1049.77,36.34,0,1086.11
Hailuoto,200.56,1.7,880.44,1082.7
Halsua,412.71,15.63,0,428.34
Hämeenkoski,187.74,7.89,0,195.63
Hämeenkyrö,463.79,41.31,0,505.1
Hämeenlinna,1785.01,246.51,0,2031.52
Hamina,609.51,23.17,522.44,1155.12
Hammarland,138.35,1.92,1083.99,1224.26
Hankasalmi,571.73,116.03,0,687.76
Hanko,116.92,2.04,681.03,799.99
Harjavalta,123.46,4.28,0,127.74
Hartola,542.95,132.43,0,675.38
Hattula,357.81,69.58,0,427.39
Hausjärvi,389.31,9.47,0,398.78
Heinävesi,1029.96,289.62,0,1319.58
Heinola,676.09,163.2,0,839.29
Helsinki,213.75,0.86,500.87,715.48
Hirvensalmi,465.38,281.21,0,746.59
Hollola,463.16,68.68,0,531.84
Honkajoki,331.37,1.77,0,333.14
Huittinen,532.62,6.97,0,539.59
Humppila,147.94,0.65,0,148.59
Hyrynsalmi,1421.05,100.32,0,1521.37
Hyvinkää,322.62,14.15,0,336.77
Ii,1553.19,50.23,1205.9,2809.32
Iisalmi,762.97,109.21,0,872.18
Iitti,589.78,97.31,0,687.09
Ikaalinen,750.31,93.09,0,843.4
Ilmajoki,576.78,2.9,0,579.68
Ilomantsi,2763.57,409.13,0,3172.7
Imatra,155.01,36.27,0,191.28
Inari,15053.04,2280.5,0,17333.54
Ingå,349.89,8.1,596.03,954.02
Isojoki,642.38,5.05,0,647.43
Isokyrö,354.13,2.78,0,356.91
Jakobstad,88.45,3.43,304.47,396.35
Jalasjärvi,818.31,12.11,0,830.42
Jämijärvi,214.35,9.98,0,224.33
Jämsä,1571.32,252.59,0,1823.91
Janakkala,547.44,38.63,0,586.07
Järvenpää,37.54,2.39,0,39.93
Joensuu,2381.66,369.41,0,2751.07
Jokioinen,180.42,1.52,0,181.94
Jomala,142.55,0.79,543.66,687
Joroinen,575.09,136.67,0,711.76
Joutsa,867.16,199.26,0,1066.42
Juankoski,465.28,120.98,0,586.26
Juuka,1501.76,344.8,0,1846.56
Juupajoki,258.5,16.45,0,274.95
Juva,1162.93,182.77,0,1345.7
Jyväskylä,1170.9,295.45,0,1466.35
Kaarina,150.42,1.05,28.11,179.58
Kaavi,674,115.58,0,789.58
Kajaani,1835.09,428.9,0,2263.99
Kalajoki,922.18,7.18,1461.97,2391.33
Kangasala,658.04,212.82,0,870.86
Kangasniemi,1068.82,257.88,0,1326.7
